Attendance,Extracurricular_Activities,Previous_Scores_1,previous_Score_2,Assignment_Score,Previous_Semester_CGPA,Rating
84,No,73,67,37,6.9,6.8
64,No,59,61,31,6.1,6.6
98,Yes,91,74,39,8.5,8.6
89,Yes,98,71,43,8.6,9.2
92,Yes,65,70,31,7.1,7.0
88,Yes,89,71,43,8.1,8.5
84,Yes,68,67,28,7.1,6.9
78,Yes,50,66,33,5.9,6.9
94,No,80,69,42,7.4,7.6
98,Yes,71,72,34,7.1,7.6
80,No,88,68,41,7.6,8.2
97,Yes,87,71,36,7.7,8.2
83,Yes,97,70,39,8.4,9.0
82,Yes,72,66,33,6.4,7.1
78,Yes,74,65,29,6.9,6.8
68,No,70,64,29,7.0,7.1
60,Yes,65,60,34,6.4,6.5
70,Yes,82,65,39,7.8,8.4
80,Yes,91,67,35,8.2,8.2
75,Yes,58,66,26,5.9,6.5
78,No,99,69,41,8.8,8.1
99,No,84,72,38,8.2,8.2
74,No,89,66,33,8.0,7.4
78,Yes,100,66,43,8.3,8.5
46,Yes,44,25,17,3.0,3.9
62,Yes,54,64,31,6.1,6.1
91,No,90,65,34,7.4,7.6
83,Yes,94,71,40,8.4,8.9
90,No,58,66,32,6.1,6.2
66,No,51,64,26,5.7,5.5
83,No,57,63,32,6.2,5.9
53,Yes,23,25,15,2.0,2.7
69,Yes,96,67,44,7.9,8.3
60,No,50,61,25,5.2,5.8
65,No,90,68,37,7.4,7.3
43,No,39,20,17,2.9,3.1
44,Yes,35,35,19,3.2,3.7
99,No,54,67,25,6.1,6.0
72,Yes,84,63,34,7.0,8.1
65,Yes,98,64,45,8.0,9.0
68,No,56,67,34,6.4,5.9
50,Yes,22,29,10,2.6,2.8
63,No,94,64,35,8.0,7.4
94,Yes,82,70,35,8.0,8.0
98,Yes,82,68,34,7.1,8.0
70,Yes,98,65,41,8.3,9.1
45,Yes,20,38,15,3.0,3.4
61,Yes,70,64,30,6.3,7.1
86,Yes,72,68,38,6.7,7.3
77,No,57,63,26,5.8,5.8
71,Yes,65,64,28,6.0,6.3
68,No,72,64,34,7.0,7.1
86,Yes,63,67,31,7.0,7.7
43,No,27,41,13,3.8,3.9
67,Yes,51,66,29,5.7,6.4
88,Yes,79,72,37,7.8,7.7
83,No,89,65,33,7.7,7.4
94,Yes,87,71,35,8.1,8.9
65,No,82,66,39,7.7,7.4
91,Yes,71,68,35,6.6,7.5
87,No,96,70,46,8.7,8.2
65,Yes,66,62,33,5.9,7.2
88,Yes,88,68,39,8.1,8.0
78,Yes,96,67,39,8.4,8.4
98,Yes,56,71,36,6.6,7.1
57,Yes,21,33,13,3.0,3.5
